Last updated Sep 1, 2005 4:58:41 PM ET 
FACTORY CARD OUTL&PARTY FCPO 6.99 0.00  0.00 -37.59 13.05 6.55 - 
FEDERAL SIGNAL CORP FSS 17.37 0.27  1.58 -1.64 19.18 13.80 63.33 
FEMALE HEALTH CO FHCO 1.65 0.05  3.12 -17.50 2.13 1.36 - 
FIRST BANCTRUST CORP FBTC 12.90 0.05  0.39 8.77 13.15 10.85 22.54 
FIRST ROBINSON FINANCIAL FRFC 25.50 0.50  2.00 4.08 25.25 22.50 0.00 
FORTUNE BRANDS INC FO 86.41 -0.57  -0.66 11.96 96.18 70.35 15.70 
GARDNER DENVER INC GDI 41.72 -0.10  -0.24 14.96 43.66 26.01 18.75 
GATX CORP GMT 40.66 0.13  0.32 37.55 41.85 25.72 13.07 
GENERAL GROWTH PROPS INC GGP 45.50 0.41  0.91 25.83 47.47 29.74 57.81 
GRUBB & ELLIS CO GBEL 6.85 -0.25  -3.52 47.31 7.30 3.55 8.77 
HARTMARX CORP HMX 8.96 0.08  0.90 15.32 10.48 6.32 15.86 
HEIDRICK & STRUGGLE INTL HSII 32.90 -0.12  -0.36 -4.00 38.64 24.25 9.07 
HEWITT ASSOCIATES INC HEW 29.14 0.14  0.48 -8.97 32.30 23.94 25.00 
HOLLINGER INTERNAT CL A HLR 10.27 0.11  1.08 -34.50 18.95 9.06 4.66 
HORACE MANN EDUCATORS CP HMN 20.20 0.62  3.17 5.87 20.25 15.86 11.87 
HOSPIRA INC HSP 40.28 0.44  1.10 20.24 39.90 27.35 24.44 
HUB GROUP INC CL A HUBG 33.17 0.92  2.85 -36.48 33.45 13.25 28.04 
IDEX CORP IEX 43.50 0.00  0.00 7.41 43.98 31.10 23.02 
ILLINOIS TOOL WORKS INC ITW 85.55 1.27  1.51 -7.69 96.62 78.99 18.16 
JOHN SANFILIPPO & SON JBSS 17.87 -0.23  -1.27 -30.68 29.09 14.54 13.41 
JONES LANG LASALLE INC JLL 48.83 -0.50  -1.01 30.53 51.51 30.04 19.97 
KRAFT FOODS INC CL A KFT 30.97 -0.03  -0.10 -13.03 36.06 30.11 20.39 
LAIDLAW INTERNATIONAL LI 24.79 0.04  0.16 15.84 26.50 15.37 8.62 
LAWSON PRODUCTS INC LAWS 38.14 -0.76  -1.95 -24.01 54.24 36.30 17.93 
M-WAVE INC MWAV 0.95 -0.05  -5.00 -28.03 2.78 0.70 - 
MAF BANCORP INC MAFB 42.86 -0.07  -0.16 -4.37 47.25 38.38 14.36 
MCDONALD'S CORPORATION MCD 31.55 -0.90  -2.77 -1.59 34.70 26.89 17.08 
METAL MANAGEMENT INC MTLM 25.45 0.95  3.88 -5.28 30.50 15.91 7.12 
METHODE ELECTRONICS INC. METH 12.89 0.57  4.63 0.31 14.86 10.26 17.35 
MFRI INC MFRI 7.65 0.25  3.38 -31.08 11.82 3.66 11.21 
NAVISTAR INTERNAT CORP NAV 31.52 -0.44  -1.38 -28.33 45.07 28.30 8.80 
NEOPHARM INC NEOL 13.71 0.26  1.93 9.59 14.00 6.07 - 
NICOR INC GAS 41.87 0.46  1.11 13.35 42.15 35.50 16.18 
NISOURCE INC NI 24.52 0.38  1.57 7.64 25.50 20.53 15.09 
NORTHERN TRUST CORP NTRS 50.61 0.77  1.54 4.18 51.55 38.55 20.51 
NOVAMED INC NOVA 7.01 -0.09  -1.27 6.53 7.75 3.43 33.81 
NUVEEN INVESTMENTS CL A JNC 38.30 0.70  1.86 -2.96 42.52 28.60 21.01 
OLD REPUBLIC INTERNAT ORI 25.19 0.02  0.08 -0.43 26.49 22.05 9.36 
OLYMPIC CASCADE FNCL COR OLYD 0.80 -0.15  -15.79 -15.79 1.42 0.40 - 
PACKAGING CORP OF AMER PKG 21.07 0.11  0.52 -10.53 25.63 20.04 21.83 
PACTIV CORPORATION PTV 19.24 -0.17  -0.88 -23.92 25.73 19.20 35.94 
PC-TEL INCORPORATED PCTI 8.66 -0.06  -0.69 9.21 9.39 6.70 - 
QUOTESMITH.COM INC QUOT 3.42 -0.08  -2.31 -32.30 6.80 2.90 - 
R.R. DONNELLEY & SONS CO RRD 37.58 0.22  0.59 6.49 38.27 29.54 17.46 
RICHARDSON ELEC LTD CL A RELL 7.68 -0.08  -1.03 -27.55 11.76 6.55 - 
SALTON INC SFP 3.61 -0.19  -5.00 -36.22 7.46 0.98 - 
SARA LEE CORP SLE 18.83 -0.17  -0.89 -22.00 25.00 18.88 21.11 
SERVICEMASTER CO THE SVM 13.60 -0.14  -1.02 -1.38 13.93 12.20 12.05 
SIRVA INC SIR 10.18 0.09  0.89 -47.03 24.65 6.34 43.87 
SMURFIT-STONE CONTAINER SSCC 10.97 -0.07  -0.63 -41.27 19.87 9.87 - 
SPRINT NEXTEL CORP S 25.73 -0.20  -0.77 -49.58 27.20 19.11 - 
STANDARD PARKING CORP STAN 17.80 0.00  0.00 16.04 19.20 12.00 4.19 
STEPAN CO SCL 26.00 -0.10  -0.38 6.73 26.72 20.54 21.57 
STERICYCLE INC SRCL 57.80 -0.33  -0.57 25.79 59.74 41.70 31.25 
STRATEGIC HOTEL CAPITAL SLH 18.26 -0.18  -0.98 10.67 20.30 13.10 - 
TAYLOR CAPITAL GROUP TAYC 39.22 -0.03  -0.08 17.07 39.59 22.75 12.15 
TELEPHONE & DATA SYS INC TDS 40.33 -0.52  -1.27 -47.59 88.44 37.45 30.49 
TELLABS INC TLAB 8.80 -0.06  -0.68 2.44 10.31 6.56 - 
TENNECO AUTOMOTIVE INC TEN 18.05 -0.08  -0.44 4.70 20.06 10.93 33.57 
TITAN INTERNAT INC TWI 13.79 0.13  0.95 -8.68 15.85 9.20 17.74 
TOOTSIE ROLL INDUSTRIES TR 31.97 0.11  0.35 -7.68 33.86 28.24 25.49 
TRIBUNE CO TRB 37.64 0.07  0.19 -10.68 44.32 34.53 16.70 
TRIZEC PROPERTIES INC TRZ 22.70 0.31  1.38 19.98 22.63 15.75 15.55 
U.S. CELLULAR CORP USM 54.51 -0.37  -0.67 21.78 55.39 40.10 40.65 
UAL CORP UALAQ 1.24 -0.10  -7.46 -4.62 2.40 0.11 - 
UNIONBANCORP INC UBCD 21.54 -0.36  -1.64 1.36 22.00 19.60 17.11 
UNITED FNCL MORTGAGE UFMC 4.19 0.01  0.24 -12.89 5.44 3.82 19.00 
UNITED STATIONERS INC USTR 46.59 -0.31  -0.66 0.84 53.62 41.07 16.99 
UNITRIN INC UTR 46.36 0.19  0.41 2.00 54.13 39.77 11.63 
USG CORP USG 67.35 4.50  7.16 67.25 63.05 17.32 8.66 
W.W. GRAINGER INC GWW 64.50 0.18  0.28 -3.18 67.25 51.64 18.92 
WALGREEN CO WAG 45.75 -0.58  -1.25 19.23 49.01 35.05 30.28 
WILLIAM WRIGLEY JR CL CM WWY 70.64 -0.41  -0.58 2.10 72.60 61.79 29.85 
WOODWARD GOVERNOR CO WGOV 81.38 -0.17  -0.21 13.64 90.00 58.50 18.53 
ZEBRA TECHNOLOGIES CP A ZBRA 36.86 -0.50  -1.34 -34.51 62.40 34.88 23.20 

Last updated Sep 2, 2005 12:50:26 PM ET
A.M. CASTLE & COMPANY CAS 15.76 0.05  0.32 31.99 17.97 8.99 7.79 
AAR CORP AIR 17.62 -0.17  -0.96 29.37 18.45 10.51 38.26 
ABBOTT LABORATORIES ABT 45.01 -0.13  -0.29 -3.52 50.00 40.25 20.33 
AFTERMARKET TECH CORP ATAC 16.96 0.07  0.41 5.34 18.84 11.35 44.10 
AHPC HOLDINGS INC GLOV 3.78 0.09  2.44 -7.58 6.25 1.85 - 
AKSYS LTD AKSY 2.13 0.01  0.47 -61.69 7.05 1.85 - 
ALBERTO-CULVER CO ACV 42.27 -0.08  -0.19 -12.97 56.31 41.61 19.98 
ALLSCRIPTS HLTHCR SOLTNS MDRX 17.71 -0.19  -1.07 65.97 18.68 6.47 136.77 
ALLSTATE CORPORATION ALL 55.33 -0.46  -0.82 6.98 63.22 45.50 11.06 
AMERICAN PHARMACEU PRTNR APPX 47.15 0.76  1.64 26.04 58.73 21.28 42.18 
AMLI RESIDENTIAL PROPS AML 32.37 0.26  0.81 1.16 33.49 26.76 22.71 
ANDREW CORP ANDW 11.20 -0.32  -2.78 -17.83 15.49 10.56 60.68 
ANIXTER INTERNATIONAL AXE 38.25 0.03  0.08 6.28 42.16 31.16 17.28 
AON CORP AOC 30.41 -0.09  -0.30 27.45 30.27 18.15 17.00 
APAC CUSTOMER SERVICES APAC 0.80 0.00  0.00 -54.02 2.00 0.65 - 
APTARGROUP INC ATR 49.85 0.05  0.10 -5.55 54.89 43.33 18.15 
ARCHER DANIELS MIDLAND ADM 24.15 0.67  2.85 8.25 25.37 16.05 14.16 
ARGOSY GAMING CO AGY 46.68 -0.02  -0.04 -0.04 46.97 33.29 16.97 
ARTHUR J. GALLAGHER & CO AJG 28.83 -0.18  -0.63 -11.30 34.12 25.42 33.60 
BAB INC BABB 1.17 0.02  1.74 42.68 1.30 0.57 0.00 
BALLY TOTAL FIT HLDG BFT 3.85 0.03  0.79 -9.20 4.72 2.84 - 
BAXTER INTERNATIONAL INC BAX 39.38 -0.60  -1.50 14.01 40.56 29.35 26.89 
BOEING CO BA 64.52 -1.47  -2.23 24.63 68.38 48.10 31.76 
BORG WARNER INC BWA 58.27 0.01  0.02 7.57 61.07 39.50 14.73 
BRUNSWICK CORP BC 42.91 -0.09  -0.21 -13.31 49.85 38.96 12.75 
CABOT MICROELECTRONICS CCMP 29.28 -0.32  -1.08 -26.93 41.98 25.50 19.74 
CAREER EDUCATION CORP CECO 39.16 -0.33  -0.84 -2.10 43.09 26.22 19.41 
CATERPILLAR INC CAT 58.13 1.19  2.09 -40.39 55.65 36.13 16.42 
CDW CORPORATION CDWC 58.80 0.34  0.58 -11.38 68.26 51.86 19.63 
CGI HOLDING CORP THK 2.18 0.03  1.40 -63.67 6.25 1.92 23.78 
CHICAGO MERCANTILE EX HD CME 298.29 -2.84  -0.94 30.43 315.00 132.57 35.73 
CLARCOR INC CLC 28.79 0.17  0.59 -47.43 31.79 22.05 21.60 
CNA FINANCIAL CORP CNA 28.55 -0.30  -1.04 6.73 30.45 21.63 11.02 
COOLSAVINGS INC CSAV 0.55 0.00  0.00 37.50 1.24 0.28 62.00 
DADE BEHRING HLDGS INC DADE 36.71 -0.72  -1.92 -34.45 38.71 25.76 40.21 
DEERE & CO DE 65.05 0.16  0.25 -12.57 74.73 56.72 10.36 
DEVRY INC DV 18.74 0.15  0.81 7.95 24.48 13.00 48.61 
EFC BANCORP INC EFC 34.20 -0.19  -0.55 31.29 35.24 24.60 24.22 
ELOYALTY CORPORATION ELOY 6.13 -0.07  -1.13 4.25 8.37 4.11 - 
EQUITY OFFICE PROP TRUST EOP 33.38 -0.15  -0.45 14.63 35.79 26.67 - 
EQUITY RESIDENTIAL EQR 38.07 0.07  0.18 5.22 40.74 30.30 19.11 
EXELON CORPORATION EXC 54.16 0.21  0.39 22.90 54.88 35.99 18.39 
FACTORY CARD OUTL&PARTY FCPO 6.85 -0.14  -2.00 -38.84 13.05 6.55 - 
FEDERAL SIGNAL CORP FSS 17.17 -0.20  -1.15 -2.77 19.18 13.80 63.33 
FEMALE HEALTH CO FHCO 1.65 0.00  0.00 -17.50 2.13 1.36 - 
FORTUNE BRANDS INC FO 86.42 0.01  0.01 11.97 96.18 70.35 15.70 
GARDNER DENVER INC GDI 41.65 -0.07  -0.17 14.77 43.66 26.01 18.75 
GATX CORP GMT 40.42 -0.24  -0.59 36.74 41.85 25.72 13.07 
GENERAL GROWTH PROPS INC GGP 45.58 0.08  0.18 26.05 47.47 29.74 57.81 
HARTMARX CORP HMX 8.87 -0.09  -1.00 14.16 10.48 6.32 15.86 
HEIDRICK & STRUGGLE INTL HSII 33.27 0.37  1.12 -2.92 38.64 24.25 9.07 
HEWITT ASSOCIATES INC HEW 29.13 -0.01  -0.03 -9.00 32.30 23.94 25.00 
HOLLINGER INTERNAT CL A HLR 10.21 -0.06  -0.58 -34.89 18.95 9.06 4.66 
HORACE MANN EDUCATORS CP HMN 20.27 0.07  0.35 6.24 20.25 15.86 11.87 
HOSPIRA INC HSP 40.33 0.05  0.12 20.39 39.90 27.35 24.44 
HUB GROUP INC CL A HUBG 33.20 0.03  0.09 -36.42 33.45 13.25 28.04 
HYPERFEED TECHNOLOGIES HYPR 1.75 0.00  0.00 -35.19 5.25 1.60 - 
IDEX CORP IEX 43.49 -0.01  -0.02 7.38 43.98 31.10 23.02 
ILLINOIS TOOL WORKS INC ITW 85.81 0.26  0.30 -7.41 96.62 78.99 18.16 
JOHN SANFILIPPO & SON JBSS 17.94 0.07  0.39 -30.41 29.09 14.54 13.41 
JONES LANG LASALLE INC JLL 48.93 0.10  0.20 30.79 51.51 30.04 19.97 
KRAFT FOODS INC CL A KFT 30.98 0.24  0.78 -13.00 36.06 30.11 20.39 
LAIDLAW INTERNATIONAL LI 24.86 0.07  0.28 16.17 26.50 15.37 8.62 
LAWSON PRODUCTS INC LAWS 38.07 -0.07  -0.18 -24.15 54.24 36.30 17.93 
M-WAVE INC MWAV 0.97 0.02  2.11 -26.52 2.78 0.70 - 
MAF BANCORP INC MAFB 43.03 0.17  0.40 -3.99 47.25 38.38 14.36 
MAIN STREET TRUST INC MSTI 29.02 -0.05  -0.17 0.07 32.50 28.50 0.00 
MCDONALD'S CORPORATION MCD 31.89 0.34  1.08 -0.53 34.70 26.89 17.08 
METAL MANAGEMENT INC MTLM 26.00 0.55  2.16 -3.24 30.50 15.91 7.12 
METHODE ELECTRONICS INC. METH 12.70 -0.19  -1.47 -1.17 14.86 10.26 17.35 
NAVISTAR INTERNAT CORP NAV 31.78 0.26  0.82 -27.74 45.07 28.30 8.80 
NEOPHARM INC NEOL 13.83 0.12  0.88 10.55 14.00 6.07 - 
NICOR INC GAS 41.70 -0.17  -0.41 12.89 42.15 35.50 16.18 
NISOURCE INC NI 24.35 -0.17  -0.69 6.89 25.50 20.53 15.09 
NORTHERN TRUST CORP NTRS 50.49 -0.12  -0.24 3.93 51.55 38.55 20.51 
NOVAMED INC NOVA 7.05 0.04  0.57 7.14 7.75 3.43 33.81 
NUVEEN INVESTMENTS CL A JNC 38.10 -0.20  -0.52 -3.47 42.52 28.60 21.01 
OLD REPUBLIC INTERNAT ORI 25.19 0.00  -0.02 -0.45 26.49 22.05 9.36 
OLYMPIC CASCADE FNCL COR OLYD 0.85 0.05  6.25 -10.53 1.42 0.40 - 
PACKAGING CORP OF AMER PKG 21.00 -0.07  -0.33 -10.83 25.63 20.04 21.83 
PACTIV CORPORATION PTV 18.95 -0.29  -1.51 -25.07 25.73 19.20 35.94 
PC-TEL INCORPORATED PCTI 8.67 0.01  0.12 9.33 9.39 6.70 - 
PIONEER RAILCOR PRRR 2.85 0.25  9.62 -5.00 3.30 2.05 9.29 
QUOTESMITH.COM INC QUOT 3.51 0.09  2.66 -30.50 6.80 2.90 - 
R.R. DONNELLEY & SONS CO RRD 37.64 0.06  0.16 6.66 38.27 29.54 17.46 
RICHARDSON ELEC LTD CL A RELL 7.83 0.15  1.95 -26.13 11.76 6.55 - 
SALTON INC SFP 3.45 -0.16  -4.43 -39.05 7.46 0.98 - 
SARA LEE CORP SLE 18.94 0.11  0.58 -21.54 25.00 18.88 21.11 
SERVICEMASTER CO THE SVM 13.54 -0.06  -0.44 -1.81 13.93 12.20 12.05 
SIRVA INC SIR 10.20 0.02  0.20 -46.93 24.65 6.34 43.87 
SMURFIT-STONE CONTAINER SSCC 10.95 -0.02  -0.18 -41.38 19.87 9.87 - 
SPRINT NEXTEL CORP S 25.42 -0.31  -1.20 -50.19 27.20 19.11 - 
STANDARD PARKING CORP STAN 17.81 0.01  0.06 16.10 19.20 12.00 4.19 
STEPAN CO SCL 25.95 -0.05  -0.19 6.53 26.72 20.54 21.57 
STERICYCLE INC SRCL 57.82 0.02  0.03 25.83 59.74 41.70 31.25 
STRATEGIC HOTEL CAPITAL SLH 18.10 -0.16  -0.88 9.70 20.30 13.10 - 
TAYLOR CAPITAL GROUP TAYC 38.88 -0.34  -0.87 16.06 39.59 22.75 12.15 
TELEPHONE & DATA SYS INC TDS 40.46 0.13  0.32 -47.42 88.44 37.45 30.49 
TELLABS INC TLAB 8.55 -0.25  -2.84 -0.47 10.31 6.56 - 
TENNECO AUTOMOTIVE INC TEN 18.19 0.14  0.78 5.51 20.06 10.93 33.57 
TITAN INTERNAT INC TWI 13.61 -0.18  -1.31 -9.87 15.85 9.20 17.74 
TOOTSIE ROLL INDUSTRIES TR 32.35 0.38  1.19 -6.58 33.86 28.24 25.49 
TRIBUNE CO TRB 38.09 0.45  1.20 -9.61 44.32 34.53 16.70 
TRIZEC PROPERTIES INC TRZ 22.67 -0.03  -0.13 19.82 22.63 15.75 15.55 
U.S. CELLULAR CORP USM 54.73 0.22  0.40 22.27 55.39 40.10 40.65 
UAL CORP UALAQ 1.21 -0.03  -2.42 -6.92 2.40 0.11 - 
UNIONBANCORP INC UBCD 21.40 -0.14  -0.65 0.71 22.00 19.60 17.11 
UNITED FNCL MORTGAGE UFMC 4.18 -0.01  -0.24 -13.10 5.44 3.82 19.00 
UNITED STATIONERS INC USTR 46.00 -0.59  -1.27 -0.43 53.62 41.07 16.99 
UNITRIN INC UTR 45.94 -0.42  -0.91 1.08 54.13 39.77 11.63 
USG CORP USG 67.04 -0.31  -0.46 66.48 63.05 17.32 8.66 
W.W. GRAINGER INC GWW 64.25 -0.25  -0.39 -3.56 67.25 51.64 18.92 
WALGREEN CO WAG 45.32 -0.43  -0.94 18.11 49.01 35.05 30.28 
WILLIAM WRIGLEY JR CL CM WWY 70.73 0.09  0.13 2.23 72.60 61.79 29.85 
WOODWARD GOVERNOR CO WGOV 80.00 -1.38  -1.70 11.72 90.00 58.50 18.53 
ZEBRA TECHNOLOGIES CP A ZBRA 36.89 0.03  0.08 -34.45 62.40 34.88 23.20 

Last updated Sep 2, 2005 5:30:42 PM ET
A.M. CASTLE & COMPANY CAS 15.69 -0.02  -0.13 31.41 17.97 8.99 7.79 
AAR CORP AIR 17.53 -0.26  -1.46 28.71 18.45 10.51 38.26 
ABBOTT LABORATORIES ABT 44.88 -0.26  -0.58 -3.79 50.00 40.25 20.33 
AFTERMARKET TECH CORP ATAC 17.19 0.30  1.78 6.77 18.84 11.35 44.10 
AHPC HOLDINGS INC GLOV 3.86 0.17  4.61 -5.62 6.25 1.85 - 
AKORN INCORPORATED AKN 2.78 0.10  3.73 -27.42 4.30 2.17 - 
AKSYS LTD AKSY 2.11 -0.01  -0.47 -62.05 7.05 1.85 - 
ALBERTO-CULVER CO ACV 42.18 -0.17  -0.40 -13.16 56.31 41.61 19.98 
ALLSCRIPTS HLTHCR SOLTNS MDRX 17.77 -0.13  -0.73 66.54 18.68 6.47 136.77 
ALLSTATE CORPORATION ALL 55.53 -0.26  -0.47 7.37 63.22 45.50 11.06 
AMERICAN PHARMACEU PRTNR APPX 46.66 0.27  0.58 24.73 58.73 21.28 42.18 
AMLI RESIDENTIAL PROPS AML 32.07 -0.04  -0.12 0.22 33.49 26.76 22.71 
ANDREW CORP ANDW 11.30 -0.22  -1.91 -17.09 15.49 10.56 60.68 
ANIXTER INTERNATIONAL AXE 38.00 -0.22  -0.58 5.58 42.16 31.16 17.28 
AON CORP AOC 30.63 0.13  0.43 28.37 30.27 18.15 17.00 
APAC CUSTOMER SERVICES APAC 0.76 -0.04  -5.00 -56.32 2.00 0.65 - 
APTARGROUP INC ATR 49.81 0.01  0.02 -5.63 54.89 43.33 18.15 
ARCHER DANIELS MIDLAND ADM 23.71 0.23  0.98 6.28 25.37 16.05 14.16 
ARGOSY GAMING CO AGY 46.70 0.00  0.00 0.00 46.97 33.29 16.97 
ARLINGTON HOSPITALITY INC HOST 0.29 -0.01  -3.33 -90.30 0.00 0.00 0.00 
ARTHUR J. GALLAGHER & CO AJG 28.91 -0.10  -0.34 -11.05 34.12 25.42 33.60 
BAB INC BABB 1.20 0.05  4.35 46.34 1.30 0.57 0.00 
BALLY TOTAL FIT HLDG BFT 3.86 0.04  1.05 -8.96 4.72 2.84 - 
BAXTER INTERNATIONAL INC BAX 39.46 -0.52  -1.30 14.24 40.56 29.35 26.89 
BOEING CO BA 64.34 -1.65  -2.50 24.28 68.38 48.10 31.76 
BORG WARNER INC BWA 58.23 -0.03  -0.05 7.49 61.07 39.50 14.73 
BRUNSWICK CORP BC 42.99 -0.01  -0.02 -13.15 49.85 38.96 12.75 
CABOT MICROELECTRONICS CCMP 29.30 -0.30  -1.01 -26.88 41.98 25.50 19.74 
CAREER EDUCATION CORP CECO 39.20 -0.29  -0.73 -2.00 43.09 26.22 19.41 
CATERPILLAR INC CAT 58.25 1.31  2.30 -40.26 55.65 36.13 16.42 
CDW CORPORATION CDWC 58.55 0.09  0.15 -11.76 68.26 51.86 19.63 
CGI HOLDING CORP THK 2.13 -0.02  -0.93 -64.50 6.25 1.92 23.78 
CHICAGO MERCANTILE EX HD CME 298.71 -2.42  -0.80 30.61 315.00 132.57 35.73 
CLARCOR INC CLC 28.58 -0.04  -0.14 -47.82 31.79 22.05 21.60 
CNA FINANCIAL CORP CNA 28.79 -0.06  -0.21 7.63 30.45 21.63 11.02 
COOLSAVINGS INC CSAV 0.55 0.00  0.00 37.50 1.24 0.28 62.00 
DADE BEHRING HLDGS INC DADE 36.80 -0.63  -1.68 -34.29 38.71 25.76 40.21 
DEERE & CO DE 65.05 0.16  0.25 -12.57 74.73 56.72 10.36 
DEVRY INC DV 18.55 -0.04  -0.22 6.85 24.48 13.00 48.61 
EFC BANCORP INC EFC 34.31 -0.08  -0.23 31.71 35.24 24.60 24.22 
ELOYALTY CORPORATION ELOY 6.22 0.02  0.35 5.82 8.37 4.11 - 
EQUITY OFFICE PROP TRUST EOP 33.37 -0.16  -0.48 14.59 35.79 26.67 - 
EQUITY RESIDENTIAL EQR 38.16 0.16  0.42 5.47 40.74 30.30 19.11 
EXELON CORPORATION EXC 53.98 0.03  0.06 22.49 54.88 35.99 18.39 
FACTORY CARD OUTL&PARTY FCPO 7.00 0.01  0.14 -37.50 13.05 6.55 - 
FEDERAL SIGNAL CORP FSS 17.01 -0.36  -2.07 -3.68 19.18 13.80 63.33 
FEMALE HEALTH CO FHCO 1.65 0.00  0.00 -17.50 2.13 1.36 - 
FORTUNE BRANDS INC FO 86.07 -0.34  -0.39 11.52 96.18 70.35 15.70 
GARDNER DENVER INC GDI 41.59 -0.13  -0.31 14.60 43.66 26.01 18.75 
GATX CORP GMT 40.14 -0.52  -1.28 35.79 41.85 25.72 13.07 
GENERAL GROWTH PROPS INC GGP 45.54 0.04  0.09 25.94 47.47 29.74 57.81 
GRUBB & ELLIS CO GBEL 6.80 -0.05  -0.73 46.24 7.30 3.55 8.77 
HARTMARX CORP HMX 8.88 -0.08  -0.89 14.29 10.48 6.32 15.86 
HEIDRICK & STRUGGLE INTL HSII 32.70 -0.20  -0.61 -4.58 38.64 24.25 9.07 
HEWITT ASSOCIATES INC HEW 29.05 -0.09  -0.31 -9.25 32.30 23.94 25.00 
HOLLINGER INTERNAT CL A HLR 10.18 -0.09  -0.88 -35.08 18.95 9.06 4.66 
HORACE MANN EDUCATORS CP HMN 20.20 0.00  0.00 5.87 20.25 15.86 11.87 
HOSPIRA INC HSP 40.11 -0.17  -0.42 19.73 39.90 27.35 24.44 
HUB GROUP INC CL A HUBG 32.94 -0.23  -0.69 -36.92 33.45 13.25 28.04 
HYPERFEED TECHNOLOGIES HYPR 1.75 0.00  0.00 -35.19 5.25 1.60 - 
IDEX CORP IEX 43.28 -0.22  -0.51 6.86 43.98 31.10 23.02 
ILLINOIS TOOL WORKS INC ITW 85.63 0.08  0.09 -7.61 96.62 78.99 18.16 
JOHN SANFILIPPO & SON JBSS 17.90 0.03  0.17 -30.57 29.09 14.54 13.41 
JONES LANG LASALLE INC JLL 48.20 -0.63  -1.29 28.84 51.51 30.04 19.97 
